wban,latitude,longitude
12977,29.62194,-95.65667
12978,29.90778,-96.95
12981,28.97306,-95.86333
12987,26.5258,-98.0633
13301,39.8668,-93.147
13721,38.3,-76.41667
13722,35.8923,-78.7819
13723,36.0969,-79.9432
13724,39.3792,-74.4243
13728,36.5728,-79.3361
13729,38.8853,-79.8528
13733,37.3208,-79.2067
13734,39.4019,-77.9844
13735,39.3667,-75.0667
13736,39.64278,-79.91639
13737,36.9033,-76.1922
13739,39.8683,-75.2311
13740,37.505,-77.3202
13741,37.3169,-79.9741
13743,38.8483,-77.0341
13744,34.1852,-79.7238
13748,34.2675,-77.8997
13750,36.95,-76.28333
13752,38.98333,-76.46667
13754,34.9,-76.88333
13762,36.695,-76.13556
13764,38.68917,-75.35917
13769,36.81667,-76.03333
13773,38.5,-77.3
13776,34.608,-79.0591
13781,39.6728,-75.6008
13782,32.78,-79.9319
13786,36.26056,-76.175
13809,38.76417,-87.60556
13810,38.22806,-85.66361
13833,31.28194,-89.25306
13837,33.46694,-82.03861
13838,30.62639,-88.06806
13839,31.3167,-85.45
13841,39.42028,-83.82167
13865,32.3347,-88.7442
13866,38.3794,-81.59
13869,31.53556,-84.19444
13870,31.5358,-82.5067
13871,33.5872,-85.8556
13873,33.948,-83.3275
13874,33.6301,-84.4418
13876,33.56556,-86.745
13877,36.4731,-82.4044
13878,31.1522,-81.3908
13880,32.8986,-80.0402
13881,35.2236,-80.9552
13882,35.0311,-85.2014
13883,33.9419,-81.1181
13884,30.77972,-86.5225
13886,34.84611,-82.34611
13889,30.495,-81.6936
13891,35.8181,-83.9858
13893,35.0564,-89.9865
13894,30.68833,-88.24556
13895,32.2997,-86.4075
13896,34.7441,-87.5997
13897,36.11889,-86.68917
13899,30.47806,-87.18694
13904,30.1831,-97.6799
13911,32.76667,-97.45
13917,35.63333,-91.16667
13920,38.95028,-95.66389
13925,34.60028,-91.57444
13926,33.06778,-96.06528
13927,32.33667,-90.22139
13932,37.16806,-97.03694
13935,31.3953,-92.2907
13939,33.4825,-90.98528
13942,32.5155,-92.0405
13957,32.4472,-93.8244
13958,30.3208,-97.7604
13959,31.61889,-97.22833
13960,32.8519,-96.8555
13961,32.81917,-97.36139
13962,32.4105,-99.6822
13963,34.7273,-92.2389
13964,35.333,-94.3625
13966,33.9786,-98.4928
13967,35.3889,-97.6006
13968,36.1994,-95.8872
13969,36.73667,-97.10194
13970,30.5372,-91.1469
13971,36.2668,-93.1566
13972,32.35417,-95.4025
13973,30.51083,-99.76639
13975,36.2967,-99.7689
13976,30.205,-91.9875
13977,33.4536,-94.0074
13978,33.4963,-90.0866
13981,37.67028,-95.48417
13984,39.5514,-97.6508
13985,37.7686,-99.9678
13986,38.06528,-97.86056
13987,37.1466,-94.5022
13988,39.1208,-94.5969
13989,38.32917,-96.19472
13993,39.7736,-94.9233
13994,38.7525,-90.3736
13995,37.2397,-93.3897
13996,39.0725,-95.6261
13997,38.13111,-91.76833
14605,44.3155,-69.7972
14606,44.7978,-68.8185
14607,46.8705,-68.0173
14609,46.1236,-67.7928
14610,45.6477,-68.6925
14702,42.47,-71.28944
14707,41.3275,-72.04944
14710,42.93333,-71.43833
14711,40.1962,-76.7724
14712,40.36667,-75.96667
14719,40.84361,-72.63222
14732,40.77944,-73.88028
14733,42.9408,-78.7358
14734,40.6825,-74.16944
14735,42.7431,-73.8092
14736,40.29639,-78.32028
14737,40.65083,-75.4492
14739,42.3606,-71.0106
14740,41.9381,-72.6825
14742,44.4683,-73.1499
14745,43.1952,-71.5011
14747,42.49333,-79.27222
14748,42.15944,-76.89194
14750,43.35,-73.6167
14751,40.21722,-76.85139
14752,41.73611,-72.65056
14753,42.2123,-71.1137
14755,44.2669,-71.2997
14756,41.25306,-70.06083
14757,41.6266,-73.8842
14758,41.26389,-72.88722
14762,40.35472,-79.92167
14763,42.42722,-73.28917
14764,43.6497,-70.3002
14765,41.7219,-71.4325
